record_type,path,parent_path,sweep_id,filigree_task,risk_rating,priority,loc,tracked_files,max_child_risk,risk_factors
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn5AuditStory.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,231,,,chunk:S-FRONTEND-COMPONENTS; load-bearing/debt comments; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn6ModeChoice.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,152,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/tutorial/copy.ts,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,56,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/tutorial/index.ts,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,9,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary; tiny/package glue
file,src/elspeth/web/frontend/src/components/tutorial/tutorialMachine.test.ts,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,95,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/tutorial/tutorialMachine.ts,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,252,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
folder,src/elspeth/web/frontend/src/config/,src/elspeth/web/frontend/src,S-FRONTEND-APP-SHELL,elspeth-cf691873fb,3,P2,23,1,3,rollup:S-FRONTEND-APP-SHELL; files:1; max_child_risk:3; avg_child_risk:3.00
file,src/elspeth/web/frontend/src/config/composer.ts,src/elspeth/web/frontend/src/config,S-FRONTEND-APP-SHELL,elspeth-cf691873fb,3,P2,23,,,chunk:S-FRONTEND-APP-SHELL
folder,src/elspeth/web/frontend/src/contexts/,src/elspeth/web/frontend/src,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,85,2,4,rollup:S-FRONTEND-API-STATE; files:2; max_child_risk:4; avg_child_risk:3.50; boundary/audit/config vocabulary=2; test/support file under src=1; capped<=3=1
file,src/elspeth/web/frontend/src/contexts/ReadOnlyContext.test.tsx,src/elspeth/web/frontend/src/contexts,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,33,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/contexts/ReadOnlyContext.tsx,src/elspeth/web/frontend/src/contexts,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,52,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
folder,src/elspeth/web/frontend/src/hooks/,src/elspeth/web/frontend/src,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,2611,19,4,rollup:S-FRONTEND-API-STATE; files:19; max_child_risk:4; avg_child_risk:3.58; boundary/audit/config vocabulary=10; test/support file under src=8; capped<=3=8; dense boundary/audit/config vocabulary=1
file,src/elspeth/web/frontend/src/hooks/useAuth.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,24,,,chunk:S-FRONTEND-API-STATE; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/hooks/useComposer.test.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,3,P2,36,,,chunk:S-FRONTEND-API-STATE; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/hooks/useComposer.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,75,,,chunk:S-FRONTEND-API-STATE
file,src/elspeth/web/frontend/src/hooks/useFocusTrap.ts,src/elspeth/web/frontend/src/hooks,S-FRONTEND-API-STATE,elspeth-a1bda77c7e,4,P1,65,,,chunk:S-FRONTEND-API-STATE
